cuecompania	cuedivision	cuecodigo	cuecodilimiinfe	cuecodilimisupe	cuenivecuenmayo	cuenombre	cuetipo	cuenaturaleza	cuepresupuestable	cuecodialtepres	cuetipocodialte	cueestadistica	cuediferenciable	cuemonetaria	cuemanemoneextr	cuecaptmone	cueajustable	cuemanecant	cuemaneconctrib	cuemanetranefec	cueelemento1	cueelemento2	cueelemento3	cueelemento4	cueelemento5	cuecontelem1	cuecontelem2	cuecontelem3	cuecontelem4	cuecontelem5	cueclasificacio	cuebaseivaretefte	cuetolivaretefte	cuecomentario	eobcodigo	eobnombre	eobfecha	eobjustificacion	eobusuario	cuetipoivaretefte	cueporcivaretefte	cuemaneproy	cuetipoplan	cueflujoefec	cuecodiflujoefec	cueimptodifer	cueuuidcontadic	ecacodigo	ecadescripcion
01	01	1	1	1999999999999999	1	ACTIVO			N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N	0	"Comprende el conjunto de las cuentas que representan los bienes y derechos tangibles e intangibles
de propiedad de la Universidad EAFIT, según su utilización, son fuente potencial de beneficios
presentes o futuros."	AC	ACTIVO	11/07/2005 00:00:00		IMPORTA		0	N	1	N		N			
01	01	11	11	1199999999999999	2	DISPONIBLE			N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N		"Agrupa el conjunto de las cuentas que registran los recursos de liquidez inmediata, total o parcial con
que cuenta la Universidad EAFIT y que son utilizables para fines generales y específicos."	AC	Activo	11/07/2005 00:00:00	Justificacion	IMPORTA			N	1	N		N			
01	01	1105	1105	1105999999999999	3	CAJA			N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N		"Corresponde a la existencia de dinero en efectivo o en cheques con que cuenta la Universidad, tanto
en moneda nacional como extranjera disponible en forma inmediata. Comprende Caja General y
Cajas Menores."	AC	Activo	11/07/2005 00:00:00	Justificacion	IMPORTA			N	1	N		N			
01	01	110505	110505	1105059999999999	4	CAJAS GENERALES 			N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N	0	"Corresponde a la existencia de dinero en efectivo o en cheques, tanto en moneda nacional como
extranjera, disponible en forma inmediata."	AC	ACTIVO	25/04/2017 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11050504	11050504	11050504	4	CAJA GENERAL MEDELLÍN - PAGOS POR VENTANILLA	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo para los pagos que no se pueden realizar por caja menor y autorizados por la Tesorería.	AC	Activo	01/02/2016 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11050505	11050505	11050505	4	CAJA GENERAL MEDELLIN -CENTRALIZADA	AC	DB	N	0		N	N	N	S	3	N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde a la existencia de dinero en efectivo o en cheques, tanto en moneda nacional como
extranjera, disponible en forma inmediata, en Medellín."	AC	ACTIVO	19/08/2016 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11050506	11050506	11050506	4	CAJA GENERAL LIBRERÍA	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo en moneda nacional que recibe la Librería	AC	Activo	23/05/2013 00:00:00	Justificación	LGAVIRIA			N	1	N		N			
01	01	11050507	11050507	11050507	4	CAJA GENERAL EXCUL	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N			SU	Suspendido	10/11/2014 00:00:00	Justificación	CONTA_MON1			N	1	N		N			
01	01	11050508	11050508	11050508	4	CAJA GENERAL FRUTERA	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo por concepto de ventas de la Frutera.	AC	Activo	27/08/2015 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11050509	11050509	11050509	4	CAJA GENERAL MAQUINAS VENDING	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo por las ventas de las Máquinas Vending.	AC	Activo	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	11050510	11050510	11050510	4	CAJA GENERAL BOGOTA	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde a la existencia de dinero en efectivo o en cheques, tanto en moneda nacional como
extranjera, disponible en forma inmediata, en la ciudad de Bogotá."	SU	Suspendido	28/07/2017 00:00:00		JESTRADC		0	N	1	N		N			
01	01	11050511	11050511	11050511	4	CAJA GENERAL TIENDA INSTITUCIONAL	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo por las ventas de los productos de la Tienda Institucional.	AC	Activo	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
